SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT
Missions,伊利丹·怒风,30,Hero,TU4e_001,Hunter,,,,,,,,
Missions,双持战刃,,Weapon,TU4e_007,,2,Common,4,6,,,,
Missions,吉安娜·普罗德摩尔,27,Hero,TU4a_006,Mage,,Common,,,,,,
Missions,埃辛诺斯之焰,1,Minion,TU4e_002t,,,Common,2,1,,,,
Missions,埃辛诺斯之焰,,Hero Power,TU4e_002,,,,,2,<b>英雄技能</b>
召唤两个2/1的随从。,,,
Missions,埃辛诺斯战刃,,Weapon,TU4e_004,,2,Common,2,2,,,,
Missions,大型豺狼人,2,Minion,TU4a_005,,,Common,5,4,,,,
Missions,帝王传承,,Spell,TU4f_004,,,Common,,3,使你的随从获得+2/+2。<i>（+2攻击力/+2生命值）</i>,,,
Missions,帝王传承,,Enchantment,TU4f_004o,,,,,,获得+2/+2。<i>（+2攻击力/+2生命值）</i>,,,
Missions,影踪派武僧,2,Minion,TU4f_003,,,Common,2,2,,,,
Missions,掷桶,,Spell,TU4c_002,,,Common,,1,造成2点伤害。,Neutral,,
Missions,木桶,2,Minion,TU4c_003,,,Common,,0,这木桶里有什么东西？,Neutral,Deathrattle,
Missions,河爪豺狼人,1,Minion,TU4a_002,,,Common,2,1,,,,
Missions,游学者周卓,25,Hero,TU4f_001,,,,,,,,,
Missions,火枪轰击,,Hero Power,TU4d_003,Hunter,,Common,,2,<b>英雄技能</b>
造成1点伤害。,,,
Missions,火焰爆裂,,Spell,TU4e_005,,,Common,,3,随机对敌人发射$5枚飞弹，每枚飞弹造成$1点伤害。,,,
Missions,熊猫人斥候,1,Minion,TU4f_002,,,Common,1,1,,,,
Missions,疯狂的猎人,1,Minion,TU4d_002,,,Common,1,1,,,,
Missions,疯狂的猴子,2,Minion,TU4f_007,,,Common,1,1,<b>战吼：</b>扔香蕉。,,Battlecry,
Missions,穆克拉,26,Hero,TU4c_001,,,Common,,,,,,
Missions,穆克拉之力,,Enchantment,TU4c_008e,,,,,,在本回合中，穆克拉获得+8攻击力。,,OneTurnEffect,
Missions,穆克拉的大表哥,10,Minion,TU4c_007,,,Common,10,6,如此强大！而且只要6点法力值？！,,,
Missions,穆克拉的意志,,Spell,TU4c_008,,,Common,,3,恢复8点生命值。,,,
Missions,米尔豪斯·法力风暴,20,Hero,TU4b_001,Mage,,Common,,,,,,
Missions,纳迦侍从,1,Minion,TU4e_003,,,Common,1,1,<b></b>,,,
Missions,豺狼人,1,Minion,TU4a_003,,,Common,1,1,,,,
Missions,赫米特·奈辛瓦里,20,Hero,TU4d_001,Hunter,,Common,,,,,,
Missions,践踏,,Spell,TU4c_004,,,Common,,2,对所有敌人造成2点伤害。,Neutral,,
Missions,躲起来的侏儒,3,Minion,TU4c_005,,,Common,1,2,曾经躲在木桶里！,Neutral,,
Missions,酒仙,4,Minion,TU4f_005,,,Common,4,4,,,,
Missions,霍格,10,Hero,TU4a_001,,,Common,,,,,,
Missions,霍格很厉害！,,Spell,TU4a_004,,,Common,,3,造成4点伤害。,,,
Missions,香蕉,,Spell,TU4c_006,,,Common,,1,使一个友方随从获得+1/+1。<i>（+1攻击力/+1生命值）</i>,Neutral,,
Missions,香蕉,,Enchantment,TU4c_006e,,,,,,该随从获得+1/+1。<i>（+1攻击力/+1生命值）</i>,,,
Missions,魂体双分,,Spell,TU4f_006,,,Common,,1,除非你杀死周卓的随从，否则他无法被攻击。,,,
Missions,魂体双分,,Enchantment,TU4f_006o,,,,,,除非你杀死周卓的随从，否则他无法被攻击。,,,
