MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,RACE,INPLAYTEXT,ELITE,DURABILITY
OneTurnEffect,Classic,“深受鼓舞”,在本回合中，该随从获得+2攻击力。,Enchantment,CS2_188o,,,,,,,,,,,,,
,Classic,上古看守者,无法攻击。,Minion,EX1_045,True,Alliance,Richard Wright,Rare,4,2,5,为什么在你走动的时候，会感觉它的眼珠也在跟着你动？,,,,,
,Classic,丛林之魂,<b>亡语：</b>召唤一个2/2的树人。,Enchantment,EX1_158e,,,,,,,,,Druid,,,,
,Classic,丛林之魂,使你的所有随从获得“<b>亡语：</b>召唤一个2/2的树人。”,Spell,EX1_158,True,Neutral,Markus Erdt,Common,,4,,“重新造林”计划突然听起来像是个恐怖的阴谋。,Druid,,,,
,Classic,丛林守护者,<b>抉择</b>：造成2点伤害；或者<b>沉默</b>一个随从。,Minion,EX1_166,True,Neutral,Gabor Szikszai,Rare,2,4,4,这些家伙不知道从哪儿冒出来，然后就自说自话地开始守护你的丛林了。,Druid,,,,
Stealth,Classic,丛林猎豹,<b>潜行</b>,Minion,EX1_017,True,Horde,Jaemin Kim,Common,4,3,2,荆棘谷是一个很适合观光的地方，但你绝对不会想住在那儿。,,Beast,,,
Battlecry,Classic,严酷的监工,<b>战吼：</b>对一个随从造成1点伤害，并使其获得+2攻击力。,Minion,EX1_603,True,Neutral,Phroilan Gardner,Common,2,2,2,“这个周末你们必须来加班。”——严酷的监工,Warrior,,,,
Secret,Classic,以眼还眼,<b>奥秘：</b>当你的英雄受到伤害时，对敌方英雄造成等量伤害。,Spell,EX1_132,True,Neutral,James Ryman,Common,,1,,有时正义的表现形式就是这么简单：紧握的拳头打在瘫软的脸上。,Paladin,,,,
,Classic,任务达人,每当你使用一张牌时，便获得+1/+1。,Minion,EX1_044,True,Alliance,Attila Adorjany,Rare,2,3,2,“高价收购致命的短枪，卖的密！”,,,,,
,Classic,伊利丹·怒风,每当你使用一张牌时，召唤一个2/1的埃辛诺斯之焰。,Minion,EX1_614,True,Neutral,Alex Horley Orlandelli,Legendary,7,6,5,伊利丹的哥哥玛法里奥把他关在海加尔山下长达一万年。怒风两兄弟真是不明白“家和万事兴”的道理。,,Demon,,True,
,Classic,伊瑟拉,在你的回合结束时，获得一张梦境牌。,Minion,EX1_572,True,Neutral,Gabor Szikszai,Legendary,4,9,12,伊瑟拉统治翡翠梦境。所谓翡翠梦境，究竟只是现实世界的绿色朦胧倒影，还是其它别的什么地方？,,Dragon,,True,
,Classic,伊瑟拉苏醒,对除了伊瑟拉之外的所有角色造成$5点伤害。,Spell,DREAM_02,,,,,,2,,,Dream,,,,
Battlecry,Classic,伪装大师,<b>战吼：</b>使一个友方随从获得<b>潜行</b>。,Minion,NEW1_014,True,,Ron Spencer,Rare,4,4,4,实际上“她”是一个男性牛头人。你以为随便哪个人都配得上“伪装大师”的名号吗？,Rogue,,,,
,Classic,伸张正义,获得+1/+1。,Enchantment,EX1_366e,,,,,,,,,Paladin,,,,
OneTurnEffect,Classic,伺机待发,在本回合中，你所施放的下一个法术的法力值消耗减少（3）点。,Enchantment,EX1_145o,,,,,,,,,Rogue,,,,
,Classic,伺机待发,在本回合中，你所施放的下一个法术的法力值消耗减少（3）点。,Spell,EX1_145,True,Neutral,Clint Langley,Epic,,0,,“随时准备伺机待发。”——潜行者座右铭,Rogue,,,,
,Classic,侍从,,Minion,CS2_152,,Alliance,,Common,2,1,2,,,,,,
,Classic,先知维伦,使你的法术牌和英雄技能的伤害和治疗效果翻倍。,Minion,EX1_350,True,Neutral,Wei Wang,Legendary,7,7,7,他被逐出他的家园。他兄弟们都变成了邪恶的主宰......但是除此之外，他好像也没有什么别的可以抱怨的了。,Priest,,,True,
,Classic,先祖之魂,<b>亡语：</b>再次召唤该随从。,Enchantment,CS2_038e,,,,,,,,,Shaman,,,,
,Classic,先祖之魂,使一个随从获得“<b>亡语</b>：再次召唤该随从。”,Spell,CS2_038,True,Neutral,Zoltan & Gabor,Rare,,2,,只是伤到些皮毛而已。,Shaman,,,,
,Classic,光明之泉,在你的回合开始时，随机为一个受伤的友方角色恢复3点生命值。,Minion,EX1_341,True,Neutral,Blizzard Entertainment,Rare,0,2,5,以前有很多牧师都不明白，究竟是因为队友看不见光明之泉呢，还是他们故意不想点它呢？,Priest,,,,
,Classic,光耀之子,该随从的攻击力等同于其生命值。,Minion,EX1_335,True,Neutral,Daarken,Common,0,4,5,光耀孕育之子嗣，吾等子嗣之光耀。,Priest,,,,
,Classic,公正之剑,每当你召唤一个随从，使它获得+1/+1，这把武器失去1点耐久度。,Weapon,EX1_366,True,Neutral,Efrem Palacios,Epic,1,3,,我封你为“牛腰肉爵士”！,Paladin,,,,5
