COLLECTIBLE,SET,NAME,FACTION,ELITE,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,MECHANICS,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
True,Classic,『炎魔』拉格納羅斯,Neutral,True,無法攻擊。你的回合結束時，對一個隨機敵人造成8點傷害,Greg Staples,Legendary,8,8,8,拉格納羅斯是被黑鐵矮人召喚出來的，但他們後來反倒被炎魔奴役。只能說，召喚拉格納羅斯通常不會達到你期望的結果。,Minion,EX1_298,,,,,
True,Classic,『馭風者』奧拉基爾,,True,<b>風怒、衝鋒、聖盾術、嘲諷</b>,Raymond Swanland,Legendary,3,8,5,他是四位元素之王當中最弱的。而另外三位從不讓他忘記這一點。,Minion,NEW1_010,Charge|Divine Shield|Taunt|Windfury,Shaman,,,
True,Classic,一視同仁,Neutral,,將全部手下的生命值改為1點,Michal Ivan,Rare,,2,,我們全部都是獨一無二的雪花...儘管只有一滴血。,Spell,EX1_619,,Paladin,,,
,Classic,一視同仁,,,生命值改為1點,,,,,,,Enchantment,EX1_619e,,Paladin,,,
True,Classic,以太秘法師,,False,若在你的回合結束時你控制著<b>秘密</b>，獲得+2/+2,Michael Komarck,Rare,3,4,3,這些以太族穿衣服是為了給予他們無形的身軀形體。而且也因為衣服軟軟的很舒服。,Minion,EX1_274,,Mage,,,
True,Classic,以眼還眼,Neutral,,<b>秘密:</b>當你的英雄受到傷害，對敵方英雄造成等量傷害,James Ryman,Common,,1,,正義有時候就是用拳頭跟對方的臉頰進行接觸。,Spell,EX1_132,Secret,Paladin,,,
True,Classic,伊利丹·怒風,Neutral,True,每當你出牌，召喚一個2/1的埃辛諾斯火焰,Alex Horley Orlandelli,Legendary,7,6,5,伊利丹的哥哥瑪法里恩把他關在海加爾底下10000年。怒風家族對於舊怨一向記得很清楚。,Minion,EX1_614,,,Demon,,
True,Classic,伊瑟拉,Neutral,True,在你的回合結束時，抽一張夢境卡,Gabor Szikszai,Legendary,4,9,12,伊瑟拉統治著翡翠夢境，一個像是真實世界的綠色鏡像版本之類的世界。,Minion,EX1_572,,,Dragon,,
,Classic,伊瑟拉之覺醒,,,對伊瑟拉以外的全部角色造成$5點傷害,,,,2,,,Spell,DREAM_02,,Dream,,,
,Classic,伊露恩之賜,,,生命值提高,,,,,,,Enchantment,EX1_004e,,,,,
True,Classic,伊露恩的女祭司,Neutral,,<b>戰吼:</b>使你的英雄恢復4點生命值,Dan Scott,Common,5,6,4,如果她說要代替月亮來「懲罰」你，別做太多的聯想。,Minion,EX1_583,Battlecry,,,,
,Classic,伸張正義,,,擁有+1/+1,,,,,,,Enchantment,EX1_366e,,Paladin,,,
,Classic,侍從,Alliance,,,,Common,2,1,2,,Minion,CS2_152,,,,,
,Classic,保密,,,屬性提高,,,,,,,Enchantment,EX1_080o,,,,,
True,Classic,保密者,Alliance,,每當有人施放<b>秘密</b>，獲得+1/+1,Gonzalo Ordonez,Rare,1,1,2,她答應不會告訴其他人，你昨晚跟那個人做的那件事情。,Minion,EX1_080,,,,,
True,Classic,偽裝大師,,,<b>戰吼:</b>使一個友方手下獲得<b>潛行</b>,Ron Spencer,Rare,4,4,4,其實她是男性牛頭人。大家叫他「偽裝大師」不是沒有道理的。,Minion,NEW1_014,Battlecry,Rogue,,,
,Classic,充分進食,,,攻擊力及生命值提高,,,,,,,Enchantment,EX1_531e,,Hunter,,,
True,Classic,兇蠻,Neutral,,對一個敵方手下造成等同於你英雄攻擊力的傷害,Dave Rapoza,Rare,,1,,有些德魯伊很兇蠻是事實，但是其他的德魯伊還是很喜歡喝杯好茶享受寧靜的時光。,Spell,EX1_578,AffectedBySpellPower,Druid,,,
True,Classic,先祖之魂,Neutral,,賦予一個手下「<b>死亡之聲:</b>重新召喚這個手下」,Zoltan & Gabor,Rare,,2,,這只是皮肉之傷。,Spell,CS2_038,,Shaman,,,
,Classic,先祖之魂,,,<b>死亡之聲:</b>重新召喚這個手下,,,,,,,Enchantment,CS2_038e,,Shaman,,,
,Classic,光明籠罩,,,攻擊力提高,,,,,,,Enchantment,EX1_001e,,,,,
True,Classic,光束泉,Neutral,,你的回合開始時，恢復一個受傷的友方角色3點生命值,Blizzard Entertainment,Rare,0,2,5,很難說人們是刻意無視光束泉的存在，還是它本身就是隱形的。,Minion,EX1_341,,Priest,,,
True,Classic,光榮犧牲,Neutral,,<b>秘密:</b>當一個敵人進攻時，召喚一個2/1防衛者成為新目標,Zoltan & Gabor,Common,,1,,我們會記得你的，「防衛者」!,Spell,EX1_130,Secret,Paladin,,,
True,Classic,克洛許王,Neutral,True,<b>衝鋒</b>,Alex Horley Orlandelli,Legendary,8,9,8,要防禦克洛許王最好的辦法就是讓你討厭的人站在你前面。,Minion,EX1_543,Charge,Hunter,Beast,,
True,Classic,冰凍陷阱,Neutral,,<b>秘密:</b>將一個進攻的敵方手下返回手上，並使其消耗增加(2)點,Matt Gaser,Common,,2,,「很冷耶。」-對冰凍陷阱的反應，或者是對冷笑話的反應。,Spell,EX1_611,Secret,Hunter,,,
True,Classic,冰錐術,Neutral,,<b>凍結</b>一個手下及其兩側的手下，並對他們造成$1點傷害,Leo Che,Common,,4,,祈倫托的法師本來都愛用<b>冰塊術</b>，直到90多年前甜筒開始流行。,Spell,EX1_275,Freeze,Mage,,,
True,Classic,冰霜元素,Neutral,,<b>戰吼:</b><b>凍結</b>一個角色,Dan Scott,Common,5,6,5,這是水元素跟冰元素愛的結晶...,Minion,EX1_283,Battlecry|Freeze,,,,
True,Classic,冰霜長矛,Neutral,,<b>凍結</b>一個角色。如果該角色已<b>凍結</b>，則改為造成$4點傷害,Alex Horley Orlandelli,Common,,1,,訣竅在於不要把長矛弄碎。不然，你放的就叫「冰霜碎片」。冰霜碎片的效果比較差。,Spell,CS2_031,Freeze,Mage,,,
True,Classic,冷光先知,Neutral,,<b>戰吼:</b>賦予全部其他魚人+2生命值,Arthur Gimaldinov,Rare,2,3,3,要逃離魚人沒那麼簡單，連地獄深淵都有冷光魚人住在那裡。,Minion,EX1_103,Battlecry,,Murloc,,
True,Classic,冷光神諭者,Neutral,,<b>戰吼:</b>每一個玩家抽2張牌,Steve Prescott,Rare,2,3,2,他們可以看到未來。在那個未來中，雙方玩家各會抽到更多牌。嚇死人嘍!,Minion,EX1_050,Battlecry,,Murloc,,
True,Classic,冷血,Neutral,,賦予一個手下+2攻擊力。<b>連擊:</b>改為+4攻擊力,Alex Horley Orlandelli,Common,,1,,「我是冷血動物，你摸摸看!」,Spell,CS2_073,Combo,Rogue,,,
,Classic,冷血,,,+4攻擊力,,,,,,,Enchantment,CS2_073e2,,Rogue,,,
,Classic,冷血,,,+2攻擊力,,,,,,,Enchantment,CS2_073e,,Rogue,,,
True,Classic,凱恩·血蹄,Alliance,True,<b>死亡之聲:</b>召喚一個4/5的貝恩·血蹄,Wayne Reynolds,Legendary,4,6,5,凱恩是被卡爾洛斯殺死的。所以呢，別把他放進戰士的套牌，那樣太不考慮他的心情了。,Minion,EX1_110,Deathrattle,,,,
,Classic,利爪德魯伊,,,<b>衝鋒</b>,,Common,4,5,4,,Minion,EX1_165t1,Charge,Druid,Beast,,
,Classic,利爪德魯伊,,,<b>嘲諷</b>,,Common,4,5,6,,Minion,EX1_165t2,Taunt,Druid,Beast,,
True,Classic,利爪德魯伊,Neutral,,<b>二選一:</b><b>衝鋒</b>，或+2生命值及<b>嘲諷</b>,Luca Zontini,Common,4,5,4,獵豹還是熊?獵豹還是熊?我沒辦法決定啦!,Minion,EX1_165,,Druid,,,
True,Classic,剔骨,Neutral,,造成$2點傷害。<b>連擊:</b>改為造成$4點傷害,Ariel Olivetti,Common,,2,,要剔敵人的骨得要付出很大的代價:要過很久很久，皮甲上才會看不到血跡。,Spell,EX1_124,Combo,Rogue,,,
True,Classic,劍刃亂舞,Neutral,,摧毀你的武器，對全部敵人造成等同其攻擊力的傷害,Hideaki Takamura,Rare,,2,,「聽著，這不只是非常快速地揮舞匕首而已。比那樣還要複雜多了。」-杉，盜賊訓練師,Spell,CS2_233,AffectedBySpellPower,Rogue,,,
True,Classic,劍類鍛造大師,,,你的回合結束時，賦予另一個隨機友方手下+1攻擊力,E.M. Gist,Rare,1,2,3,他最近想要打造出一條「連枷斧」，但是其他鑄劍師都說那是不可能的。,Minion,NEW1_037,,,,,
,Classic,力量充沛,,,這個手下擁有+2攻擊力,,,,,,,Enchantment,CS2_181e,,,,,
True,Classic,加基森拍賣師,Neutral,,每當你施放法術，抽一張牌,Matt Dixon,Rare,4,6,4,他原本在經營黑市的拍賣場，後來暴力問題實在太嚴重，他只好搬家。,Minion,EX1_095,,,,,
True,Classic,勇者祝福,,,使一個手下的攻擊力加倍,Tyler Walpole,Rare,,5,,這張牌會製造加倍的麻煩，還有加倍的樂趣喔!,Spell,EX1_355,,Paladin,,,
,Classic,勇者祝福,,,這個手下的攻擊力加倍,,,,,,,Enchantment,EX1_355e,,Paladin,,,
True,Classic,升級!,Neutral,,若你裝備了武器，賦予它+1/+1。若無，則裝備一把1/3的武器,Matt Cavotta,Rare,,1,,這至少值50點的DKP。,Spell,EX1_409,,Warrior,,,
,Classic,升級了!,,,攻擊力及生命值提高,,,,,,,Enchantment,EX1_044e,,,,,
,Classic,半神的恩眷,Neutral,,賦予你其他手下+2/+2,,,,,,,Spell,EX1_573a,,Druid,,,
,Classic,半神的恩眷,Neutral,,+2/+2,,,,,,,Enchantment,EX1_573ae,,Druid,,,
True,Classic,南海水手,Alliance,,若你裝備了武器，他便擁有<b>衝鋒</b>,Dan Brereton,Common,2,1,1,最近海盜迷上了一個新活動:跳板跳水。,Minion,CS2_146,,,Pirate,,
True,Classic,南海船長,,,你的其他海盜獲得+1/+1,Ken Steacy,Epic,3,3,3,等他存夠錢，他會去訂做一頂超巨大的船長帽。他有很嚴重的帽子情結。,Minion,NEW1_027,Aura,,Pirate,,
